"","List consecutive multiples of a number","Calculate zero partial product","Identify number as common factor","Calculate partial product -- carry out-1","Identify number as common multiple","List factor of large number","Calculate partial product -- carry in-1","Calculate partial product -- carry in and out-1","Calculate partial product -- no carry-1"
"1",0,0,0,0,1,0,0,0,0
"2",0,0,0,0,1,0,0,0,0
"3",0,0,1,0,0,0,0,0,0
"4",0,1,0,1,0,0,0,0,1
"5",0,0,0,0,0,1,0,0,0
"6",0,0,0,0,0,0,0,0,1
"7",0,1,0,0,0,0,1,0,1
"8",1,0,0,0,0,0,0,0,0
"9",0,1,0,1,0,0,1,1,1
"10",0,1,0,0,0,0,0,0,1
"11",0,0,0,1,0,0,0,0,1
"12",0,1,0,1,0,0,0,0,1
"13",0,1,0,1,0,0,1,1,1
"14",0,0,0,0,1,0,0,0,0
"15",1,0,0,0,0,0,0,0,0
"16",0,0,0,0,1,0,0,0,0
"17",0,0,0,0,0,1,0,0,0
"18",0,0,1,0,0,0,0,0,0
"19",0,1,0,1,0,0,1,1,1
"20",1,0,0,0,0,0,0,0,0
"21",1,0,0,0,0,0,0,0,0
"22",0,0,0,0,1,0,0,0,0
"23",1,0,0,0,0,0,0,0,0
"24",0,1,0,1,0,0,1,1,1
"25",0,0,0,0,0,1,0,0,0
"26",0,1,0,1,0,0,1,1,1
"27",1,0,0,0,0,0,0,0,0
"28",1,0,0,0,0,0,0,0,0
"29",0,0,0,1,0,0,1,1,1
"30",0,1,0,0,0,0,0,0,1
"31",0,0,0,0,0,1,0,0,0
"32",0,1,0,1,0,0,1,1,1
"33",0,0,1,0,0,0,0,0,0
"34",1,0,0,0,0,0,0,0,0
"35",1,0,0,0,0,0,0,0,0
"36",0,1,0,1,0,0,1,1,1
"37",1,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,1,0,0,0
"39",1,0,0,0,0,0,0,0,0
"40",0,0,1,0,0,0,0,0,0
"41",1,0,0,0,0,0,0,0,0
"42",0,0,0,0,1,0,0,0,0
"43",0,0,0,0,0,1,0,0,0
"44",1,0,0,0,0,0,0,0,0
"45",0,0,1,0,0,0,0,0,0
"46",0,0,1,0,0,0,0,0,0
"47",0,0,0,0,1,0,0,0,0
"48",0,0,0,0,1,0,0,0,0
"49",0,0,0,0,1,0,0,0,0
"50",0,0,0,0,1,0,0,0,0
"51",0,1,0,0,0,0,0,0,1
"52",0,0,0,0,0,0,0,0,1
"53",0,1,0,1,0,0,1,1,1
"54",0,0,0,0,0,1,0,0,0
"55",1,0,0,0,0,0,0,0,0
"56",0,0,0,0,1,0,0,0,0
"57",0,0,0,0,0,1,0,0,0
"58",0,0,0,0,1,0,0,0,0
"59",0,0,0,1,0,0,1,1,1
"60",0,0,0,0,1,0,0,0,0
"61",0,0,0,0,1,0,0,0,0
"62",0,1,0,1,0,0,1,1,1
"63",0,0,1,0,0,0,0,0,0
"64",0,0,0,0,1,0,0,0,0
"65",0,1,0,1,0,0,0,0,1
"66",0,0,0,0,0,0,0,0,1
"67",1,0,0,0,0,0,0,0,0
"68",0,0,1,0,0,0,0,0,0
"69",0,0,0,0,1,0,0,0,0
"70",0,0,1,0,0,0,0,0,0
"71",0,0,1,0,0,0,0,0,0
"72",1,0,0,0,0,0,0,0,0
"73",0,0,0,1,0,0,1,1,1
"74",0,0,1,0,0,0,0,0,0
"75",0,0,1,0,0,0,0,0,0
