"","model","mirt_dim","parameter","missing","bias_sq","var","mse","iw"
"1","mirt",3,"a",0,3.41787310924319e-05,0.000909466525847269,0.000943645256939701,1
"2","mirt",3,"d",0,2.70999267344337e-05,0.00103602876523462,0.00106312869196906,1
"3","mirt",3,"theta",0,0.136932666775863,0.198983983103966,0.335916649879828,1
"4","mirt",10,"a",0,5.74864589741847e-05,0.000350460540582993,0.000407946999557178,1
"5","mirt",10,"d",0,0.0003180205281196,0.00109830027635699,0.00141632080447659,1
"6","mirt",10,"theta",0,0.180921772228235,0.196748688887809,0.377670461116043,1
"7","mirt",3,"a",0.08333333,3.34993193651248e-05,0.00115905736013821,0.00119255667950334,1
"8","mirt",3,"d",0.08333333,3.0854978192007e-05,0.0013430243669102,0.00137387934510221,1
"9","mirt",3,"theta",0.08333333,0.167533503981812,0.208371126696456,0.375904630678268,1
"10","mirt",10,"a",0.08333333,3.42144013433432e-05,0.000437212653557107,0.00047142705490045,1
"11","mirt",10,"d",0.08333333,0.00104495797538362,0.00120805755956929,0.00225301553495291,1
"12","mirt",10,"theta",0.08333333,0.191569517692144,0.199239716942964,0.390809234635108,1
"13","mirt",3,"a",0.16666667,4.0200928262544e-05,0.00156033476798244,0.00160053569624498,1
"14","mirt",3,"d",0.16666667,3.97240092322816e-05,0.00163710189659563,0.00167682590582791,1
"15","mirt",3,"theta",0.16666667,0.204668636920528,0.217027080076439,0.421695716996966,1
"16","mirt",10,"a",0.16666667,3.57654450629867e-05,0.000579840866692478,0.000615606311755464,1
"17","mirt",10,"d",0.16666667,0.00103347674930434,0.00154993455918798,0.00258341130849231,1
"18","mirt",10,"theta",0.16666667,0.207130027752553,0.202388993274724,0.409519021027277,1
"19","mirt",3,"a",0.25,3.78157130742896e-05,0.0023278737591769,0.00236568947225119,1
"20","mirt",3,"d",0.25,3.9209413043388e-05,0.00217816193819661,0.00221737135124,1
"21","mirt",3,"theta",0.25,0.252583768700361,0.222159844266041,0.474743612966402,1
"22","mirt",10,"a",0.25,4.47595513980318e-05,0.00085063776337632,0.000895397314774352,1
"23","mirt",10,"d",0.25,0.000853407367499552,0.0019660560713119,0.00281946343881145,1
"24","mirt",10,"theta",0.25,0.230351984478102,0.204914345254962,0.435266329733065,1
"25","mirt",3,"a",0.33333333,0.000131521584617326,0.00380503051478761,0.00393655209940493,1
"26","mirt",3,"d",0.33333333,9.04033758216313e-05,0.00330653443322255,0.00339693780904418,1
"27","mirt",3,"theta",0.33333333,0.310901384789056,0.222459162828084,0.53336054761714,1
"28","mirt",10,"a",0.33333333,5.6617131967362e-05,0.00120405688184891,0.00126067401381627,1
"29","mirt",10,"d",0.33333333,0.00066453551365547,0.00274773148145753,0.003412266995113,1
"30","mirt",10,"theta",0.33333333,0.263558594121411,0.207684001882791,0.471242596004201,1
"31","mirt",3,"a",0.41666667,0.00017541733387248,0.00546382063157321,0.00563923796544569,1
"32","mirt",3,"d",0.41666667,0.000114297546036916,0.00406458023755892,0.00417887778359584,1
"33","mirt",3,"theta",0.41666667,0.384150307938981,0.217032944521263,0.601183252460243,1
"34","mirt",10,"a",0.41666667,8.9003484714225e-05,0.00188931775886498,0.00197832124357921,1
"35","mirt",10,"d",0.41666667,0.000571875508198663,0.00393596973992101,0.00450784524811967,1
"36","mirt",10,"theta",0.41666667,0.311237229456738,0.208899250132658,0.520136479589397,1
"37","mirt",3,"a",0.5,0.000361457147459978,0.00998116586647923,0.0103426230139392,1
"38","mirt",3,"d",0.5,0.000284675382250836,0.00674348579034667,0.0070281611725975,1
"39","mirt",3,"theta",0.5,0.469580670227191,0.203148777438738,0.672729447665929,1
"40","mirt",10,"a",0.5,0.000133418596782539,0.00329410995646317,0.00342752855324571,1
"41","mirt",10,"d",0.5,0.000450201997389181,0.00591102654547306,0.00636122854286224,1
"42","mirt",10,"theta",0.5,0.376456056816177,0.206842354584897,0.583298411401075,1
"43","mirt",3,"a",0.58333333,0.00133028439125299,0.0184269402639384,0.0197572246551914,1
"44","mirt",3,"d",0.58333333,0.00104416100361669,0.0106832597336722,0.0117274207372889,1
"45","mirt",3,"theta",0.58333333,0.57192609984456,0.176451948574641,0.748378048419201,1
"46","mirt",10,"a",0.58333333,0.000245253707230631,0.00648571176787727,0.0067309654751079,1
"47","mirt",10,"d",0.58333333,0.000574009800801292,0.00992406193760105,0.0104980717384023,1
"48","mirt",10,"theta",0.58333333,0.46479963414406,0.196596437809504,0.661396071953564,1
"49","mirt",3,"a",0.66666667,0.0164420143623454,0.03991855051117,0.0563605648735154,1
"50","mirt",3,"d",0.66666667,0.00927580290103141,0.0220405297510035,0.0313163326520349,1
"51","mirt",3,"theta",0.66666667,0.698397531387527,0.131416134129381,0.829813665516908,1
